model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.17822265625,24.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.182861328125,20.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.20166015625,19.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.194091796875,36.0,281.7,282.8,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.18359375,21.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.18359375,33.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.1953125,25.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.17041015625,28.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.1923828125,27.0,181.5,182.4,230.2051131216254
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.180908203125,40.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.176025390625,15.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.17724609375,14.0,195.3,195.9,241.8931238161699
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.192138671875,22.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,2.0,0.3,0.04,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.19775390625,16.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.29541015625,121.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.27587890625,27.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.28369140625,54.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.269775390625,29.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.265625,30.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.29931640625,48.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.285888671875,38.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.278564453125,24.0,275.2,275.90000000000003,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.284912109375,59.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,3.0,0.3,0.06,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.28857421875,52.0,nan,nan,nan
